21:50:00.173 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
21:50:08.405 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 37 ms. Found 2 MongoDB repository interfaces.
21:50:08.689 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
21:50:08.693 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
21:50:08.694 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21:50:08.695 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
21:50:08.761 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21:50:08.761 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 787 ms
21:50:08.913 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017 to client view of cluster
21:50:08.930 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./1.8.0_462-b08", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='paragnirwan', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@2c43eb8]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.way0yi2.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-zju8ks-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
21:50:08.932 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017 to client view of cluster
21:50:08.934 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017 to client view of cluster
21:50:09.139 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@49fe3142 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
21:50:09.229 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:67448}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
21:50:09.229 [cluster-rtt-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:67537}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
21:50:09.229 [cluster-rtt-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:67448}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
21:50:09.229 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:69931}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:09.229 [cluster-rtt-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:69931}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:09.229 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:67537}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
21:50:09.229 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=173305600, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c66aa8128b5e16432aef, counter=3}, lastWriteDate=Sat Sep 06 21:50:10 CEST 2025, lastUpdateTimeNanos=6531107840700}
21:50:09.229 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=173343200, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000059b, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c61ed140499bdd9437de, counter=6}, lastWriteDate=Sat Sep 06 21:50:10 CEST 2025, lastUpdateTimeNanos=6531107858500}
21:50:09.229 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=173285300, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c5d37a4073cf7e0b624e, counter=4}, lastWriteDate=Sat Sep 06 21:50:10 CEST 2025, lastUpdateTimeNanos=6531107823500}
21:50:09.231 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000059b from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:09.232 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 253 from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:09.232 [cluster-ClusterId{value='68bc90704d01794a819cf918', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:09.367 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:70035}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:09.496 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.springframework.security.crypto.password.PasswordEncoder com.nirwan.journal_app.service.UserService.passwordEncoder
21:50:09.615 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2cd62003, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@61ab89b0, org.springframework.security.web.context.SecurityContextPersistenceFilter@7add838c, org.springframework.security.web.header.HeaderWriterFilter@79b2852b, org.springframework.security.web.authentication.logout.LogoutFilter@1b7332a7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@459b6c53, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1bb15351, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@444f44c5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5478ce1e, org.springframework.security.web.session.SessionManagementFilter@404db674, org.springframework.security.web.access.ExceptionTranslationFilter@169268a7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1bb740f2]
21:50:09.801 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
21:50:09.812 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
21:50:09.818 [main] INFO  c.n.journal_app.JournalApplication - Started JournalApplication in 2.147 seconds (JVM running for 2.806)
21:50:12.969 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:50:12.969 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
21:50:12.970 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
